ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2022-01-03T11:27:14.147336222Z,2022-01-03T11:27:14.147324282Z,10,2,10600,T,A,0,1135.000000000,20,130,11940,5012872,1135.000000000,1135.350000000,713,2,2,1,1134.440000000,1135.380000000,100,2,1,1,1134.380000000,1135.500000000,7,30,1,1,1134.300000000,1135.580000000,21,50,2,1,1134.230000000,1135.770000000,2,150,1,1,1134.190000000,1135.800000000,6,199,1,2,1134.000000000,1135.830000000,1021,100,3,1,1133.670000000,1135.890000000,9,9,1,1,1133.050000000,1135.940000000,1,100,1,1,1133.000000000,1136.000000000,51,35,5,6,TSLA
2022-01-03T11:27:14.147336222Z,2022-01-03T11:27:14.147324282Z,10,2,10600,C,N,0,1135.000000000,20,130,11940,5012872,1135.000000000,1135.350000000,693,2,2,1,1134.440000000,1135.380000000,100,2,1,1,1134.380000000,1135.500000000,7,30,1,1,1134.300000000,1135.580000000,21,50,2,1,1134.230000000,1135.770000000,2,150,1,1,1134.190000000,1135.800000000,6,199,1,2,1134.000000000,1135.830000000,1021,100,3,1,1133.670000000,1135.890000000,9,9,1,1,1133.050000000,1135.940000000,1,100,1,1,1133.000000000,1136.000000000,51,35,5,6,TSLA
2022-01-03T11:27:14.158457033Z,2022-01-03T11:27:14.158446925Z,10,2,27,C,N,4,178.560000000,31,130,10108,5012877,178.410000000,178.450000000,12,50,2,1,178.400000000,178.490000000,7,83,3,2,178.390000000,178.500000000,1,115,1,3,178.330000000,178.550000000,300,1,1,1,178.320000000,178.560000000,931,400,3,1,178.300000000,178.590000000,768,20,8,1,178.280000000,178.610000000,54,1,3,1,178.270000000,178.690000000,46,260,3,1,178.260000000,178.800000000,1,20,1,2,178.250000000,178.860000000,38,3,4,1,AAPL
2022-01-03T11:27:14.158514529Z,2022-01-03T11:27:14.158503674Z,10,2,27,A,N,3,178.540000000,31,130,10855,5012878,178.410000000,178.450000000,12,50,2,1,178.400000000,178.490000000,7,83,3,2,178.390000000,178.500000000,1,115,1,3,178.330000000,178.540000000,300,31,1,1,178.320000000,178.550000000,931,1,3,1,178.300000000,178.560000000,768,400,8,1,178.280000000,178.590000000,54,20,3,1,178.270000000,178.610000000,46,1,3,1,178.260000000,178.690000000,1,260,1,1,178.250000000,178.800000000,38,20,4,2,AAPL
2022-01-03T11:27:14.158917337Z,2022-01-03T11:27:14.158907094Z,10,2,27,C,N,4,178.320000000,31,130,10243,5012881,178.410000000,178.450000000,12,50,2,1,178.400000000,178.490000000,7,83,3,2,178.390000000,178.500000000,1,115,1,3,178.330000000,178.540000000,300,31,1,1,178.320000000,178.550000000,900,1,2,1,178.300000000,178.560000000,768,400,8,1,178.280000000,178.590000000,54,20,3,1,178.270000000,178.610000000,46,1,3,1,178.260000000,178.690000000,1,260,1,1,178.250000000,178.800000000,38,20,4,2,AAPL
2022-01-03T11:27:14.158949851Z,2022-01-03T11:27:14.158939399Z,10,2,27,A,N,6,178.280000000,31,130,10452,5012882,178.410000000,178.450000000,12,50,2,1,178.400000000,178.490000000,7,83,3,2,178.390000000,178.500000000,1,115,1,3,178.330000000,178.540000000,300,31,1,1,178.320000000,178.550000000,900,1,2,1,178.300000000,178.560000000,768,400,8,1,178.280000000,178.590000000,85,20,4,1,178.270000000,178.610000000,46,1,3,1,178.260000000,178.690000000,1,260,1,1,178.250000000,178.800000000,38,20,4,2,AAPL
2022-01-03T11:27:14.167313218Z,2022-01-03T11:27:14.167302954Z,10,2,27,C,N,3,178.540000000,31,130,10264,5012889,178.410000000,178.450000000,12,50,2,1,178.400000000,178.490000000,7,83,3,2,178.390000000,178.500000000,1,115,1,3,178.330000000,178.550000000,300,1,1,1,178.320000000,178.560000000,900,400,2,1,178.300000000,178.590000000,768,20,8,1,178.280000000,178.610000000,85,1,4,1,178.270000000,178.690000000,46,260,3,1,178.260000000,178.800000000,1,20,1,2,178.250000000,178.860000000,38,3,4,1,AAPL
2022-01-03T11:27:14.648531496Z,2022-01-03T11:27:14.648519969Z,10,2,10600,T,A,0,1135.000000000,155,130,11527,5013103,1135.000000000,1135.350000000,693,2,2,1,1134.440000000,1135.380000000,100,2,1,1,1134.380000000,1135.500000000,7,30,1,1,1134.300000000,1135.580000000,21,50,2,1,1134.230000000,1135.770000000,2,150,1,1,1134.190000000,1135.800000000,6,199,1,2,1134.000000000,1135.830000000,1021,100,3,1,1133.670000000,1135.890000000,9,9,1,1,1133.050000000,1135.940000000,1,100,1,1,1133.000000000,1136.000000000,51,35,5,6,TSLA
2022-01-03T11:27:14.648531496Z,2022-01-03T11:27:14.648519969Z,10,2,10600,C,N,0,1135.000000000,155,130,11527,5013103,1135.000000000,1135.350000000,538,2,2,1,1134.440000000,1135.380000000,100,2,1,1,1134.380000000,1135.500000000,7,30,1,1,1134.300000000,1135.580000000,21,50,2,1,1134.230000000,1135.770000000,2,150,1,1,1134.190000000,1135.800000000,6,199,1,2,1134.000000000,1135.830000000,1021,100,3,1,1133.670000000,1135.890000000,9,9,1,1,1133.050000000,1135.940000000,1,100,1,1,1133.000000000,1136.000000000,51,35,5,6,TSLA
2022-01-03T11:27:14.681422755Z,2022-01-03T11:27:14.681412532Z,10,2,27,A,N,3,178.540000000,27,130,10223,5013110,178.410000000,178.450000000,12,50,2,1,178.400000000,178.490000000,7,83,3,2,178.390000000,178.500000000,1,115,1,3,178.330000000,178.540000000,300,27,1,1,178.320000000,178.550000000,900,1,2,1,178.300000000,178.560000000,768,400,8,1,178.280000000,178.590000000,85,20,4,1,178.270000000,178.610000000,46,1,3,1,178.260000000,178.690000000,1,260,1,1,178.250000000,178.800000000,38,20,4,2,AAPL
